source_file,title,authors,year,program,adviser,keywords
information-system-strategic-plan-belen-lying-in-2023.pdf,"INFORMATION SYSTEM STRATEGIC PLAN FOR BELEN LYING-IN CLINIC MANAGEMENT SYSTEM NABUA, CAMARINES SUR",Hermogenes A. Hallare; Jean Pauline S. Mabini; John Arnel R. Reparip,2023,BSIS,"Niño Jeffrey L. Luzon, Mis",
tale-three-learning-management-systems-comparative-2023.pdf,"A TALE OF THREE LEARNING MANAGEMENT SYSTEMS: A COMPARATIVE STUDY OF LEONS, SIAS, AND GOOGLE CLASSROOM",Christian S. Balang; Ferdinand P. Camacho; Maria Lineth A. Cariaga,2023,BSIS,,
title-page-implementing-lean-ux-approach-2023.pdf,TITLE PAGE IMPLEMENTING THE LEAN UX APPROACH IN THE DESIGN OF THE ENROLLMENT SYSTEM FOR THE NABUA NATIONAL HIGH SCHOOL (SENIOR HIGH SCHOOL),"Luzon, Avegail C.; Isaac, Jeanie Mae F.; Obero, Ezel Dale H.",2023,BSIS,,
web-based-registrar-s-office-2023.pdf,WEB - BASED REGISTRAR’S OFFICE TRANSACTION APPOINTMENT SYSTEM FOR CAMARINES SUR POLYTECHNIC COLLEGES: THE IMPLEMENTATION OF POST–DESIGN STAGES,Ivan Jefferson O. Calleja; Zarina Kate D. Lagatic; Kaye Angela L. Sabenorio,2023,BSIT,,
boardal-web-based-audal-boarding-house-management-2023.pdf,BOARDAL: WEB-BASED AUDAL BOARDING HOUSE MANAGEMENT SYSTEM WITH SMS NOTIFICATION VIA ITEXMO,Maria Angelica B. Arcilla; Jamil F. Sapnay; Kristine Rose L. Yapan,2023,BSIT,,
development-digital-marketplace-2023.pdf,DEVELOPMENT OF DIGITAL MARKETPLACE,Jake B. Agnas; Joebe V Castañeda; Elsie B. Dancalan,2023,BSIT,,
metasys-4-0-integrating-advance-database-2023.pdf,METaSys 4.0: INTEGRATING ADVANCE DATABASE AND USER INTERFACE FOR ENHANCE PERFORMANCE,Cristine S. Haber; Edilyn M. Jornala; Kaye E. Romero,2023,BSIT,,
title-page-medicare-web-based-medical-inventory-2023.pdf,TITLE PAGE MEDICARE: A WEB-BASED MEDICAL INVENTORY MANAGEMENT SYSTEM WITH DATA ANALYTICS,Arjay B. Bascon; Ma. Angela Janelle D.P. Fabricante; Jeremy L. Siguenza,2023,BSIT,,
stressors-coping-strategies-during-transition-senior-2024.pdf,STRESSORS AND COPING STRATEGIES DURING THE TRANSITION FROM SENIOR HIGH SCHOOL TO COLLEGE AMONG THE FIRST-YEAR MIDWIFERY STUDENTS OF CAMARINES SUR POLYTECHNIC COLLEGES,"Baldon, Renz C.; Borromeo, Ruthy Shane O.; Cabañez, Marry Gly-Ann T.; Cortez, Kc-Lyn B.; Decano, Deborah Kay C.",2024,BSM,,
republic-philippines-camarines-sur-polytechnic-colleges-2024.pdf,"Republic of the Philippines CAMARINES SUR POLYTECHNIC COLLEGES Nabua, Camarines Sur COLLEGE OF HEALTH SCIENCES BALANCING ROLE PERFORMANCE: LIVED EXPERIENCES OF STUDENT MOTHERS IN THE COLLEGE OF HEALTH SCIENCES, CAMARINES SUR POLYTECHNIC COLLEGES",Jessa Mae E. Lorzano; Lyka Mae L. Nonato; Jian Nicole R. Paliza; Maria Aurora O. Pandes; Ma. Hanna C. Rabusa,2024,BSM,,
